timestamp,hive_id,location,temperature_c,humidity_pct,weight_kg,sound_level_db
2017-05-01T08:00:00Z,Wurzburg_Hive_01,Wurzburg,34.8,55.2,42.10,40.5
2017-05-01T09:00:00Z,Wurzburg_Hive_01,Wurzburg,35.0,54.8,42.15,41.0
2017-05-01T10:00:00Z,Wurzburg_Hive_01,Wurzburg,35.2,53.5,42.25,40.8
2017-05-01T11:00:00Z,Wurzburg_Hive_01,Wurzburg,35.5,52.0,42.40,42.0
2017-05-01T12:00:00Z,Wurzburg_Hive_01,Wurzburg,35.8,51.2,42.60,41.5
2017-05-01T13:00:00Z,Wurzburg_Hive_01,Wurzburg,35.7,50.8,42.75,41.2
2017-05-01T14:00:00Z,Wurzburg_Hive_01,Wurzburg,35.4,51.5,42.85,41.8
2017-05-01T15:00:00Z,Wurzburg_Hive_01,Wurzburg,35.1,53.0,42.90,40.6
2017-05-01T16:00:00Z,Wurzburg_Hive_01,Wurzburg,34.9,54.2,42.95,40.2
2017-05-01T17:00:00Z,Wurzburg_Hive_01,Wurzburg,34.7,55.5,43.00,39.8
2018-06-10T08:00:00Z,Schwartau_Hive_02,Schwartau,33.9,58.0,38.50,38.9
2018-06-10T09:00:00Z,Schwartau_Hive_02,Schwartau,34.2,57.1,38.55,39.4
2018-06-10T10:00:00Z,Schwartau_Hive_02,Schwartau,34.6,56.0,38.62,40.1
2018-06-10T11:00:00Z,Schwartau_Hive_02,Schwartau,35.1,54.8,38.70,41.0
2018-06-10T12:00:00Z,Schwartau_Hive_02,Schwartau,35.4,53.2,38.80,41.8
2018-06-10T13:00:00Z,Schwartau_Hive_02,Schwartau,35.3,53.9,38.90,41.2
2018-06-10T14:00:00Z,Schwartau_Hive_02,Schwartau,34.8,55.0,38.95,40.5
2018-06-10T15:00:00Z,Schwartau_Hive_02,Schwartau,34.4,56.2,39.00,39.7
2019-07-20T08:00:00Z,Wurzburg_Hive_03,Wurzburg,42.5,82.0,33.20,62.5
2019-07-20T09:00:00Z,Wurzburg_Hive_03,Wurzburg,44.0,85.5,32.40,65.0
2019-07-20T10:00:00Z,Wurzburg_Hive_03,Wurzburg,43.2,84.0,32.10,63.8
