timestamp,hive_id,temp_c,humidity_pct,ambient_temp_c,ambient_humidity_pct
2020-04-15 00:00:00,Hive_01,34.5,52.1,18.2,65.0
2020-04-15 01:00:00,Hive_01,34.6,52.3,17.8,66.2
2020-04-15 02:00:00,Hive_01,34.5,52.0,17.5,67.0
2020-04-15 03:00:00,Hive_01,34.4,52.4,17.1,68.1
2020-04-15 04:00:00,Hive_01,34.5,52.2,16.9,69.0
2020-04-15 05:00:00,Hive_01,34.7,52.5,17.2,68.4
2020-04-15 06:00:00,Hive_01,35.0,52.1,18.5,64.2
2020-04-15 07:00:00,Hive_01,35.2,51.8,20.1,60.5
2020-04-15 08:00:00,Hive_01,35.5,51.2,22.4,55.0
2020-04-15 09:00:00,Hive_01,35.7,50.6,24.8,50.1
