temp_avg,humidity_avg,hive_weight,brood_count,active_days,historical_yield_avg,yield_kg
29.869021545015713,64.43565999069108,25.55398786515859,7863,74,43.75668288652841,37.38380782386656
37.35928598332891,58.76337282204422,36.25702842135074,15693,118,17.13182606946912,42.273576478197135
34.51592124354826,50.83346657002147,46.188375076292246,31523,35,28.316537091815945,50.94167851468856
32.78256029456148,68.48282568974321,41.96674659228684,6177,42,20.04982853296014,33.1197321964695
27.028242325751673,63.96559103938577,44.19683443584349,9760,89,37.74990466618438,42.76422422137616
27.027928764370635,45.691592877071194,39.76350100132152,5011,48,30.215767805840514,34.94355789662118
25.75508695818659,71.88245145728449,40.768296935535574,26636,22,32.21038461426063,42.34756271939599
36.26028989507416,68.78880350231091,45.47586954695958,21353,73,37.92699558655629,51.627610406036816
32.81449515266171,73.24299696521734,27.490040265775576,25783,100,23.85896654318592,46.173052874189786
34.20494351134859,65.40018279359259,34.68274890929422,16556,86,42.02815239424651,45.23696765488017
25.26759842584543,61.46953185775264,26.636283254588065,32598,63,28.6560103536149,44.16935023680943
37.60882807810593,54.63850627017166,49.630040239899415,16563,93,15.52841879923718,43.47680861137899
35.82175433040548,72.64549691739046,48.321780190598396,19051,31,34.356469135908085,48.949547543683984
27.760408438817592,70.3122361325143,21.182804341055178,16022,74,37.764147265338906,35.16551259191147
27.36372457369231,41.58265345371663,41.16725517547066,13234,101,21.086658697363433,38.77322444580244
27.38425862809464,40.92284410740382,47.757449522469976,30519,102,40.00127399495635,60.0
28.95514915847399,53.17621784073174,25.417260353820005,31966,59,41.71501391680182,50.00031247616362
31.82183361121909,68.36936657736415,37.038356916578884,26829,97,19.691657058223313,47.56117930875824
30.615285242347504,74.55466452602306,47.46464892764126,21173,83,44.42325154503277,58.42757560714095
28.785978822574545,45.264591188623484,21.018379357573966,32121,46,14.924903481706544,37.19258234632836
32.954087631390934,60.794575037324734,40.922608017405196,31987,58,17.070548394087147,51.932331467411586
26.813420188476545,53.33117998208576,28.920470221176522,18178,79,16.447869373330914,33.288901887140774
28.797880430957836,73.94700392351112,47.73188586129591,11570,101,41.289639850275464,49.80380701034182
29.762703962817994,69.4741623097498,49.131747354961036,30580,115,32.90023933137367,60.0
30.928909794821468,69.34150466488983,48.32799467340302,29596,22,15.323649912779551,47.613474894234095
35.207287498109174,56.40426059282396,34.226426499723914,5406,91,25.411319642892217,35.088316694990745
27.595759168058677,54.51868258181828,45.86127952967941,14206,86,31.53543087744307,45.6924276325948
31.685047699376952,49.569247517574716,45.33648195605211,9431,101,12.921242974628415,43.09709271716526
32.701389395206554,41.97314238278245,29.573014197297667,31414,57,40.884572894256856,55.906986079042944
25.60385536535997,70.26528316892686,44.86746422452032,32764,15,38.126123740453735,50.72290403467211
32.8980830747187,68.45153531955272,21.110229041464777,26627,65,27.68223707518234,42.73516520344298
27.21681360793479,74.99011856501457,37.888096354461595,11542,38,43.849431534070966,39.10720989486453
25.845670708808633,74.88228929758668,26.90026511863109,28320,113,24.62163427462849,45.94854053149374
37.33551198429333,59.44010969609196,23.617006573318363,13906,38,44.44386116627742,35.96265629933089
37.55321642996927,66.91455953131786,22.308596048876275,9146,31,33.37719995812695,25.410839291502484
35.50916552551399,73.06680054588497,40.88866327634419,17046,19,32.21349456388795,42.92100789601932
28.95997899925382,69.7376586737094,30.196248913041984,17611,34,15.808421335352474,32.468521531673986
26.26973748208299,48.65718356101192,41.74300314586284,18076,35,40.867471540662535,44.50413579123316
33.89502934465804,55.76904473585327,21.96069022396827,21524,118,24.96213907722153,40.58465829033038
30.721982418614818,44.52057953030233,29.45871013491831,34141,72,15.678169202386776,46.90499059705515
26.586497052982125,73.39178595405528,36.184738771260115,9882,45,10.441263199151566,28.23467312828974
31.437299831446513,61.2161122057808,43.721694945168906,19113,114,29.59144892734339,51.362468192902924
25.44705077449784,48.002498192621196,29.562575087962095,18645,25,28.45898677429367,28.75229040628223
36.82116522702417,63.50952395420499,38.77674129311028,11012,66,35.17737678292055,40.006147608228034
28.36413976080022,61.63448841602636,46.57933244708562,22347,29,41.15903185562307,47.88346650783717
33.612789696601766,52.53569513114942,38.47589564546914,12151,97,12.779230462506034,36.42225038940585
29.052243989162342,43.974515726987015,26.988784242609015,29948,21,35.602377161912685,41.96811172961872
31.76088427531154,63.50506184574799,20.73202344669614,33211,42,16.559418043415377,37.67332040037215
32.107233631462634,58.210769531632764,46.1029662170279,32117,65,40.03619686050074,60.0
27.40310792183185,67.03114371074737,20.638082325511615,8610,72,38.66722298515796,31.382035090312655
37.60460016093926,58.20572253891977,46.24105018052598,14884,19,28.927781424494054,38.780238346362815
35.07672670369449,69.82635251114891,35.868114020816364,11894,19,34.858497951815906,37.217143671646205
37.21348624033446,59.316739357107,48.17203095538689,18467,108,21.002253961431194,46.63161198344622
36.632755555559434,59.63282900373852,43.963497073209965,28695,110,26.49087646264851,58.87661485134657
32.772699724544104,70.68287609304207,49.93802331600013,21489,22,38.757291419866505,51.19077310542924
36.984365055300515,54.1219003174339,30.521354463551305,26923,78,26.074281901062488,45.287343136952394
26.150402526674952,44.69053299577243,43.0156486679338,14873,24,22.52293928639046,38.092487910231405
27.54777721144889,41.00739367096686,32.057927408277266,17289,52,27.297435653760495,40.644564869479204
25.587954755836996,66.42980394857666,34.396268609117264,17208,110,38.98872383530264,44.70633932306191
29.229294299922437,61.710834297371264,38.8251638965511,15828,106,21.732281657980543,41.88834247602511
30.052804765963266,64.64279188347282,46.21031342559016,28171,95,16.081655759751033,54.37947335766376
28.527537413060646,47.453745652811875,49.52250407597886,7137,109,34.92049071157733,47.86919189787826
35.773587618975085,44.773001645536944,43.04820241593555,32992,22,38.90923744478286,57.008148921361034
